"","Estimate","Std. Error","z value","Pr(>|z|)"
"(Intercept)",0.556735670346616,0.505524339348921,1.10130339335125,0.270764634804905
"Fish_abundance",0.00590793444913309,0.00245293308027069,2.40851839646646,0.0160174190138445
"A",-0.0162411057746699,0.0899459791955096,-0.18056511163626,0.856708942567595
"B",-0.357210921094992,0.168078791093641,-2.12525874782131,0.0335650284036057
"C",0.000147853227092923,0.0542745120178259,0.0027241742319924,0.997826426127751
"D",-0.0180256987596719,0.0261314593559641,-0.689808346105929,0.490314719420334
"E",0.0701648447465713,0.0844793651638596,0.830556013417912,0.406224492348853
"F",-0.0839929933865617,0.278710025183114,-0.301363373389163,0.763137420593691
"G",0.0189702410507487,0.0564563827334451,0.336015878670714,0.736858892507534
"H",-0.0069789983925781,0.0755453155707,-0.0923816167800202,0.926394844648294
